SMILES                                                                                                                        ,MolWt             ,MolLogP           ,pChEMBL Value
C=CCN(C(=O)OCc1ccccc1)C1CCN(CCC(CN(C)S(=O)(=O)c2ccccc2)c2ccccc2)CC1                                                           ,575.7750000000002 ,5.770200000000006 ,8.7
C=CCN(C(=O)OCc1ccccc1)C1CCN(CCC(CN2C(=O)N[C@H](Cc3c[nH]c4ccccc34)C2=O)c2cccc(Cl)c2)CC1                                        ,668.238           ,6.747300000000007 ,8.52
C=CCN(C(=O)OCc1ccccc1)C1CCN(CCC(CN2C(=O)N[C@H](Cc3c[nH]c4ccccc34)C2=O)c2ccccc2)CC1                                            ,633.7930000000001 ,6.093900000000006 ,8.15
C=CCN(C(=O)OCc1ccccc1)C1CCN(CCC(Cn2c(CC)nc3ccccc32)c2ccccc2)CC1                                                               ,550.7470000000002 ,7.061800000000009 ,6.61
C=CCN(C(=O)OCc1ccccc1)C1CCN(CCC(Cn2cnc3ccccc32)c2ccccc2)CC1                                                                   ,522.6930000000002 ,6.499400000000008 ,7.6
C=CCN(C(=O)OCc1ccccc1)C1CCN(CC[C@H](CN(C)S(=O)(=O)c2ccccc2)c2ccccc2)CC1                                                       ,575.7750000000002 ,5.770200000000006 ,8.76
C=CCN(C(=O)OCc1ccccc1)C1CCN(C[C@H]2CN(C(=O)C3CCCC3)C[C@]2(O)c2ccccc2)CC1                                                      ,545.7240000000003 ,4.812000000000005 ,8.06
C=CCN(C(=O)c1ccc([N+](=O)[O-])cc1)C1CCN(CCC(CN(C)S(=O)(=O)c2ccccc2)c2ccccc2)CC1                                               ,590.7460000000002 ,5.182000000000006 ,8.7
C=CCN(c1ccc(C(F)(F)F)cn1)C1CCN(C[C@H]2CN(C(=O)C3CCCCC3)C[C@@H]2c2ccccc2)CC1                                                   ,554.7010000000002 ,6.379700000000007 ,7.555
C=CCN(c1ccccc1)C1CCN(C[C@H]2CN(C(=O)C3CCCCC3)C[C@@H]2c2ccccc2)CC1                                                             ,485.71600000000035,5.9659000000000075,7.38
C=CCN(c1ccccn1)C1CCN(C[C@H]2CN(C(=O)C3CCCCC3)C[C@@H]2c2ccccc2)CC1                                                             ,486.70400000000035,5.360900000000005 ,8.09
C=CCN(c1cccnc1)C1CCN(C[C@H]2CN(C(=O)C3CCCCC3)C[C@@H]2c2ccccc2)CC1                                                             ,486.70400000000035,5.360900000000005 ,7.71
C=CCN(c1ccncc1)C1CCN(C[C@H]2CN(C(=O)C3CCCCC3)C[C@@H]2c2ccccc2)CC1                                                             ,486.70400000000035,5.360900000000005 ,7.18
C=CCN(c1ncccn1)C1CCN(C[C@H]2CN(C(=O)C3CCCCC3)C[C@@H]2c2ccccc2)CC1                                                             ,487.6920000000004 ,4.755900000000005 ,7.92
C=CCOc1ccc(CN2CCC3(CC2)C(=O)NC(CC2CCCCC2)C(=O)N3CCCC)cc1                                                                      ,481.6810000000004 ,4.683500000000004 ,7.63
CC#CCN1C(=O)C(CC(C)C)NC(=O)C12CCN(Cc1ccc(Oc3ccccc3)cc1)CC2                                                                    ,473.61700000000025,4.209900000000004 ,7.27
CC(=O)N(CCCN1CCN(Cc2ccc(F)cc2)CC1C)c1ccc(C)c(Cl)c1                                                                            ,431.9830000000002 ,4.736820000000004 ,5.67
CC(=O)N(Cc1ccsc1)C1CCN([C@H](C)CCNC(=O)c2c(C)cc(Cl)nc2C)CC1                                                                   ,477.07400000000024,4.434840000000004 ,9.05
CC(=O)N1CCC(C(=O)N(CCCN2CCC(C(=O)N(C)Cc3ccccc3)CC2)c2cccc(Cl)c2)CC1                                                           ,553.147           ,4.692200000000005 ,7.19
CC(=O)N1CCC(C(=O)N(CCCN2CCC(C(=O)NCCc3ccc(Cl)cc3)CC2)c2cccc(Cl)c2)CC1                                                         ,587.5920000000001 ,5.045900000000005 ,7.06
CC(=O)N1CCC(C(=O)N(CCCN2CCC(C(=O)NCCc3ccc(F)cc3)CC2)c2cccc(Cl)c2)CC1                                                          ,571.1370000000001 ,4.5316000000000045,6.71
CC(=O)N1CCC(C(=O)N(CCCN2CCC(C(=O)NCCc3ccccc3)CC2)c2cccc(Cl)c2)CC1                                                             ,553.147           ,4.3925000000000045,7.12
CC(=O)N1CCC(C(=O)N(CCCN2CCC(C(=O)NCc3ccc(C#N)cc3)CC2)c2cccc(Cl)c2)CC1                                                         ,564.1300000000001 ,4.2216800000000045,7.12
CC(=O)N1CCC(C(=O)N(CCCN2CCC(C(=O)NCc3ccc(Cl)cc3)CC2)c2cccc(Cl)c2)CC1                                                          ,573.565           ,5.003400000000005 ,7.59
CC(=O)N1CCC(C(=O)N(CCCN2CCC(C(=O)NCc3ccc(F)cc3)CC2)c2cccc(Cl)c2)CC1                                                           ,557.11            ,4.489100000000004 ,7.45
CC(=O)N1CCC(C(=O)N(CCCN2CCC(C(=O)NCc3ccccc3)CC2)c2cccc(Cl)c2)CC1                                                              ,539.12            ,4.350000000000004 ,7.59
CC(=O)N1CCC(C(=O)N(CCCN2CCC(Cc3ccc(C(N)=O)cc3)CC2)c2ccc(C)c(Cl)c2)CC1                                                         ,553.1470000000002 ,4.683620000000004 ,8.920000000000002
CC(=O)N1CCC(C(=O)N(CCCN2CCC(Cc3ccc(C(N)=O)cc3)CC2)c2ccc(Cl)c(Cl)c2)CC1                                                        ,573.5650000000002 ,5.028600000000004 ,8.54
CC(=O)N1CCC(C(=O)N(CCCN2CCC(Cc3ccc(F)cc3)CC2)c2ccc(Cl)c(Cl)c2)CC1                                                             ,548.5300000000001 ,6.068800000000007 ,8.719999999999999
CC(=O)N1CCC(C(=O)N(CCCN2CCC(Cc3ccccc3)CC2)c2ccccc2)CC1                                                                        ,461.6500000000002 ,4.622900000000004 ,7.47
CC(=O)N1CCC(C(=O)N(CCCN2CCC(Nc3ccc(F)cc3)CC2)c2ccc(Cl)c(Cl)c2)CC1                                                             ,549.518           ,5.690600000000006 ,7.640000000000001
CC(=O)N1CCC(C(=O)N(CCCN2CCC(S(=O)(=O)c3ccc(F)cc3)CC2)c2ccc(Cl)c(Cl)c2)CC1                                                     ,598.568           ,5.052400000000005 ,8.475
