SMILES,CCR5_pIC50,INT_pIC50,RT_pIC50
CC(C)CCCCC(=O)N[C@@H](CCN)C(=O)N[C@H](C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O,6.410002975255648,5.1633350446214195,5.604153190395559
O=C1CCN(c2ccc(-c3ccccc3Cl)nn2)CC1,5.709939183292785,4.8602300164576135,6.043101368596137
O=C(NCNc1ccc(S(=O)(=O)Nc2ncccn2)cc1)c1ccc(NC(=O)c2cccnc2)cc1,5.250896227555359,4.506049532824942,5.837836441108576
Cc1nc2cc3ccccc3cc2n1-c1ccc(C(=O)NC2CC2)s1,5.629974806034829,4.910393740407494,5.750372802330177
O=[N+]([O-])c1cnc(N[C@H]2CC[C@H](O)CC2)nc1Nc1ccccc1,5.190678894317787,4.905611407422286,6.146286179960705
Oc1cc2c(cc1O)-c1cc(O)c(O)cc1CCCC2,5.690798111786798,5.128621336173399,5.254058863461369
COc1cc(-c2ccccn2)nc(C#N)c1SC,5.567728664021482,5.327232208945327,5.4524937790070105
Cc1ccc(-c2c(C#N)c(N)nc3c2CCCCC3)cc1,5.625410646805103,5.242506020095763,6.28804127179367
COc1ccccc1N1CCN(C(CNC(=O)C(=O)NCc2ccc(F)cc2)c2cccnc2)CC1,5.355997895305937,5.708113314919038,5.829274694627436
C[C@@]12CC[C@H]3[C@]4(C)CCC[C@@](C)(C(=O)NCC(=O)OCC#CCOc5no[n+]([O-])c5S(=O)(=O)c5ccccc5)[C@H]4CC[C@]3(CC1=O)C2,6.124180877110087,4.769017573665401,5.63489638313709
O=C(O)/C=C/C(=O)c1ccccc1,6.180178754014153,4.6179472976954195,5.3102745097574715
Cc1cccc(S(=O)(=O)[C@@H]2C[C@@H](C(=O)NC3(C#N)CC3)N(C(=O)C3(c4ncc(Cl)cc4F)CC3)C2)n1,7.0853071419040194,6.570860119699662,6.36518191174786
Cc1noc(C)c1CN1CCO[C@H]2CN(CC3CC3)C[C@H]21,6.398355186801535,4.925808184244186,5.7376342589188
O=C(O)c1ccc2oc3ccc(OCC(O)CO)cc3c(=O)c2c1,5.561288624610549,4.8450808995191235,4.4022482469923645
CC(/C=N/NC(=O)c1ccc2[nH]c(C)nc2c1)=C\c1ccccc1,5.5090455818990725,5.101219142710853,5.703872055195974
CN(CCCCC1(c2ccccc2)C(=O)c2ccccc2C1=O)CC(=O)O,5.963235405773208,5.119190041979862,5.483173103188611
Cc1noc(C)c1C(=O)N1CCC(Nc2cccnn2)CC1,6.404407288354358,5.051185894117143,6.485754267949938
NC[C@@H]1O[C@H](O[C@@H]2[C@@H](C(=O)Nc3ccc(-c4cn(Cc5ccc(CN6CCN(c7cc8c(cc7F)c(=O)c(C(=O)O)cn8C7CC7)CC6)cc5)nn4)cc3)O[C@@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3N)[C@@H]2O)[C@H](N)[C@@H](O)[C@@H]1O,6.430208542388017,5.80242375253822,5.925325231418527
CCn1cc(C(=O)O)c(=O)c2cc(F)c(NCCCN3CCOCC3)c(F)c21,6.296826461471561,6.493391536231892,5.794400241367312
O=C(Nc1ccc(Oc2ccccc2)cc1)c1c(OCc2ccccc2)nnn1CC1CCCCC1,6.043854041025363,4.997832436439364,6.536392129082288
CC(=O)Nc1ccc(S(=O)(=O)N2CCC(N3CCCCC3)CC2)cc1,6.156698399973061,5.420219715523144,5.765310125323597
CCCSC1=N[C@H](C(=O)OC)[C@@H]2C(=O)N(c3ccccc3)C(=O)[C@H]12,5.190299088557634,4.472368657873124,5.5991626767572
Cn1cc(Nc2nccc(-c3cnc(N4CCC[C@@H]4C(=O)O)c(C#N)c3)n2)cn1,6.25992835567929,5.5720197332633745,5.4716102971377145
c1ccc2c(NCCN3CCN(CCCN4CCCCC4)CC3)c3c(nc2c1)CCCC3,6.868841454856772,5.259814473701564,5.847546342948551
CC(C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)C1(NC(=O)C2(NC(=O)[C@@H](N)Cc3ccc(O)cc3)CCCCC2)CCCCC1)C(=O)N[C@H](C(=O)NCC(N)=O)C(C)C,6.716771204977904,5.3049030856504915,5.467319172492268
CCC(c1ccccc1)C(CS)C(=O)O,6.15443530525643,5.051676947038327,5.2444975529338365
NS(=O)(=O)CCCC(=O)N1CCC2(CC1)c1ccccc1CC2O,6.095995216766653,4.9706786065413056,5.708540432950602
O=C(Cn1nnc(-c2ccccc2F)n1)N1CCCCC1,5.901195668878814,5.899577876731188,5.520453415547287
CC(C)NCc1cccc(-c2cccc(-c3nc4cc(F)ccc4[nH]3)c2)c1,5.867068465546002,5.187975044797136,6.035771088209982
C#Cc1c(C(=O)NN2CC3CCCC3C2)nc(-c2ccc(Cl)cc2Cl)n1-c1ccc(Cl)cc1,5.943536162812595,5.347281170052799,6.122969586483687
CC(C)[C@H](N/C(=N\S(=O)(=O)c1ccc(Cl)cc1)N1CC(c2ccccc2)C(c2ccc(Cl)cc2)=N1)C(=O)NCC(N)=O,6.4835272046922885,4.7614482582169195,5.686508047273501
CCCCCCCCCCCCCCCC(=O)NS(=O)(=O)Oc1ccc(Cl)c(Cl)c1,6.163578263390793,4.895714822815732,5.618432738547325
CC[C@@]1(C)CCC[C@@]2(C)[C@H]1CC[C@@]1(C)[C@@H]3C[C@H](O)[C@H]4[C@H](C)O[C@@H](O)[C@@H]4[C@@]3(C)[C@@H](OC(C)=O)C[C@H]21,5.533669758739581,4.333849916943296,5.06640228497396
CC(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)O,6.492874267766016,5.31781530864518,5.391239500231043
